dataset,experiment,seed,metric,difference
CBIS-DDSM,hybrid_050,46,F1-Score,-0.0034650034650035577
CBIS-DDSM,hybrid_050,46,AUROC,-0.010581047705706559
CBIS-DDSM,hybrid_050,46,AUPRC,-0.0042467212089210005
BCDR,hybrid_050,42,accuracy,0.008137432188065175
BCDR,hybrid_050,42,Precision,-0.00751541350719287
BCDR,hybrid_050,42,Recall,0.03387096774193554
BCDR,hybrid_050,42,F1-Score,0.016442882143503756
BCDR,hybrid_050,42,AUROC,0.0068730917297223915
BCDR,hybrid_050,42,AUPRC,0.017900364400549984
BCDR,hybrid_050,43,accuracy,0.009945750452079571
BCDR,hybrid_050,43,Precision,-0.005288742385045508
BCDR,hybrid_050,43,Recall,0.03387096774193543
BCDR,hybrid_050,43,F1-Score,0.01719795520963885
BCDR,hybrid_050,43,AUROC,0.0075949157042347615
BCDR,hybrid_050,43,AUPRC,0.011416074515553154
BCDR,hybrid_050,44,accuracy,-0.00723327305605781
BCDR,hybrid_050,44,Precision,-0.009441136379941262
BCDR,hybrid_050,44,Recall,-0.003225806451612856
BCDR,hybrid_050,44,F1-Score,-0.005876014872145063
BCDR,hybrid_050,44,AUROC,-0.00968405681667317
BCDR,hybrid_050,44,AUPRC,-0.006529624685671198
BCDR,hybrid_050,45,accuracy,-0.020795660036166397
BCDR,hybrid_050,45,Precision,-0.0061495303536531765
BCDR,hybrid_050,45,Recall,-0.04516129032258065
BCDR,hybrid_050,45,F1-Score,-0.02757926306769498
BCDR,hybrid_050,45,AUROC,-0.003222487720695666
BCDR,hybrid_050,45,AUPRC,0.004510478938690277
BCDR,hybrid_050,46,accuracy,0.006329113924050667
BCDR,hybrid_050,46,Precision,-0.0358671171171171
BCDR,hybrid_050,46,Recall,0.06451612903225801
BCDR,hybrid_050,46,F1-Score,0.031500398335841395
BCDR,hybrid_050,46,AUROC,-0.007755874153723585
BCDR,hybrid_050,46,AUPRC,-0.02361854627038651
CBIS-DDSM,hybrid_100,42,accuracy,-0.00497512437810943
CBIS-DDSM,hybrid_100,42,Precision,-0.04090354090354087
CBIS-DDSM,hybrid_100,42,Recall,0.04489795918367345
CBIS-DDSM,hybrid_100,42,F1-Score,0.0062859895845281955
CBIS-DDSM,hybrid_100,42,AUROC,-0.021942025217730476
CBIS-DDSM,hybrid_100,42,AUPRC,-0.05377801189576481
CBIS-DDSM,hybrid_100,43,accuracy,0.0024875621890547706
CBIS-DDSM,hybrid_100,43,Precision,-0.01584060827935796
CBIS-DDSM,hybrid_100,43,Recall,0.024489795918367308
CBIS-DDSM,hybrid_100,43,F1-Score,0.0078009243359401514
CBIS-DDSM,hybrid_100,43,AUROC,-0.03283504484596378
CBIS-DDSM,hybrid_100,43,AUPRC,-0.029229049910532212
CBIS-DDSM,hybrid_100,44,accuracy,-0.0024875621890546595
CBIS-DDSM,hybrid_100,44,Precision,-0.032731029631583475
CBIS-DDSM,hybrid_100,44,Recall,0.03673469387755102
CBIS-DDSM,hybrid_100,44,F1-Score,0.006814764053071354
CBIS-DDSM,hybrid_100,44,AUROC,0.022903938645521982
CBIS-DDSM,hybrid_100,44,AUPRC,0.057039987042658225
CBIS-DDSM,hybrid_100,45,accuracy,-0.03233830845771146
CBIS-DDSM,hybrid_100,45,Precision,0.05482295482295474
CBIS-DDSM,hybrid_100,45,Recall,-0.1428571428571429
CBIS-DDSM,hybrid_100,45,F1-Score,-0.05378635449057989
CBIS-DDSM,hybrid_100,45,AUROC,-0.030677239048485627
CBIS-DDSM,hybrid_100,45,AUPRC,-0.013820977313761973
CBIS-DDSM,hybrid_100,46,accuracy,-0.029850746268656803
CBIS-DDSM,hybrid_100,46,Precision,-0.008890108382494155
CBIS-DDSM,hybrid_100,46,Recall,-0.048979591836734726
CBIS-DDSM,hybrid_100,46,F1-Score,-0.0343470483005367
CBIS-DDSM,hybrid_100,46,AUROC,-0.015234628883400436
CBIS-DDSM,hybrid_100,46,AUPRC,-0.0015585072440742476
BCDR,hybrid_100,42,accuracy,0.006329113924050667
BCDR,hybrid_100,42,Precision,-0.03344227626646157
BCDR,hybrid_100,42,Recall,0.07903225806451619
BCDR,hybrid_100,42,F1-Score,0.02866382562827441
BCDR,hybrid_100,42,AUROC,-0.005801141643435481
BCDR,hybrid_100,42,AUPRC,-4.830833830848924e-05
BCDR,hybrid_100,43,accuracy,-0.009041591320072317
BCDR,hybrid_100,43,Precision,0.008694384121516463
BCDR,hybrid_100,43,Recall,-0.03548387096774197
BCDR,hybrid_100,43,F1-Score,-0.01810484946800972
BCDR,hybrid_100,43,AUROC,-0.0031395194477631394
BCDR,hybrid_100,43,AUPRC,0.0010369435556245588
BCDR,hybrid_100,44,accuracy,-0.028028933092224206
BCDR,hybrid_100,44,Precision,0.012029113630706578
BCDR,hybrid_100,44,Recall,-0.09193548387096773
BCDR,hybrid_100,44,F1-Score,-0.0534182456382295
BCDR,hybrid_100,44,AUROC,0.0011549183592196588
BCDR,hybrid_100,44,AUPRC,0.0030829245744035116
BCDR,hybrid_100,45,accuracy,-0.04520795660036159
BCDR,hybrid_100,45,Precision,0.015670498084291218
BCDR,hybrid_100,45,Recall,-0.14516129032258063
BCDR,hybrid_100,45,F1-Score,-0.08054517133956385
BCDR,hybrid_100,45,AUROC,-0.033910792512943155
BCDR,hybrid_100,45,AUPRC,-0.002445798313655989
BCDR,hybrid_100,46,accuracy,0.007233273056057921
BCDR,hybrid_100,46,Precision,-0.03739203120646417
BCDR,hybrid_100,46,Recall,0.0693548387096774
BCDR,hybrid_100,46,F1-Score,0.03397674551807095
BCDR,hybrid_100,46,AUROC,-0.004772335059073374
BCDR,hybrid_100,46,AUPRC,-0.025593981183881565
CBIS-DDSM,hybrid_200,42,accuracy,-0.007462686567164201
CBIS-DDSM,hybrid_200,42,Precision,-0.024563671622495065
CBIS-DDSM,hybrid_200,42,Recall,0.01632653061224487
CBIS-DDSM,hybrid_200,42,F1-Score,-0.0015092203933405601
CBIS-DDSM,hybrid_200,42,AUROC,-0.04250617444430005
CBIS-DDSM,hybrid_200,42,AUPRC,-0.04949137931004688
CBIS-DDSM,hybrid_200,43,accuracy,-0.00497512437810943
CBIS-DDSM,hybrid_200,43,Precision,-0.00497512437810943
CBIS-DDSM,hybrid_200,43,Recall,-0.004081632653061273
CBIS-DDSM,hybrid_200,43,F1-Score,-0.004484304932735439
CBIS-DDSM,hybrid_200,43,AUROC,-0.026465618094371424
CBIS-DDSM,hybrid_200,43,AUPRC,-0.02731719667891286
CBIS-DDSM,hybrid_200,44,accuracy,-0.01990049751243772
