experiment,seed,dataset,best_epoch,val_loss,logfile,loss,accuracy,Precision,Recall,F1-Score,AUROC,AUPRC
real_only,42,CBIS-DDSM,90,0.5889186859130859,real_only_seed42/real_only_full_ft_seed42_seed42.txt,0.6468562483787537,0.763681592039801,0.8571428571428571,0.7346938775510204,0.7912087912087912,0.8407383335499805,0.8898442698384372
real_only,43,CBIS-DDSM,264,0.6752918362617493,real_only_seed43/real_only_seed43_seed43.txt,0.7203992009162903,0.7412935323383084,0.8507462686567164,0.6979591836734694,0.7668161434977578,0.8183803457688807,0.8649015884255714
real_only,44,CBIS-DDSM,230,0.6396061778068542,real_only_seed44/real_only_seed44_seed44.txt,0.703633725643158,0.753731343283582,0.8578431372549019,0.7142857142857143,0.779510022271715,0.8074093331600155,0.8232473542280947
real_only,45,CBIS-DDSM,43,0.589559018611908,real_only_seed45/real_only_seed45_seed45.txt,0.5924714803695679,0.7686567164179104,0.8015873015873016,0.8244897959183674,0.8128772635814889,0.8384505394514493,0.8794386269377363
real_only,46,CBIS-DDSM,49,0.6393918991088867,real_only_seed46/real_only_seed46_seed46.txt,0.6773651838302612,0.746268656716418,0.8629441624365483,0.6938775510204082,0.7692307692307693,0.8218640322370987,0.8625140007094673
hybrid_025,42,CBIS-DDSM,248,0.6120619177818298,hybrid_025_seed42/hybrid_025_seed42_seed42.txt,0.726070761680603,0.7412935323383084,0.8770053475935828,0.6693877551020408,0.7592592592592593,0.8200961913427791,0.8521939889112106
hybrid_025,43,CBIS-DDSM,34,0.5780894160270691,hybrid_025_seed43/hybrid_025_seed43_seed43.txt,0.6298561096191406,0.7437810945273632,0.7933884297520661,0.7836734693877551,0.7885010266940452,0.8227999480046795,0.8770665894477736
hybrid_025,44,CBIS-DDSM,17,0.5512128472328186,hybrid_025_seed44/hybrid_025_seed44_seed44.txt,0.5526898503303528,0.7661691542288557,0.8132780082987552,0.8,0.8065843621399177,0.8386065254127129,0.8811696745249583
hybrid_025,45,CBIS-DDSM,206,0.5827975273132324,hybrid_025_seed45/hybrid_025_seed45_seed45.txt,0.6847586631774902,0.7487562189054726,0.8185840707964602,0.7551020408163265,0.7855626326963907,0.8151566359027685,0.8549005848623434
hybrid_025,46,CBIS-DDSM,38,0.6185625195503235,hybrid_025_seed46/hybrid_025_seed46_seed46.txt,0.7040265202522278,0.7288557213930348,0.8541666666666666,0.6693877551020408,0.7505720823798627,0.820408163265306,0.8772837807273766
hybrid_050,42,CBIS-DDSM,229,0.5932130813598633,hybrid_050_seed42/hybrid_050_full_ft_seed42_seed42.txt,0.7015738487243652,0.753731343283582,0.8613861386138614,0.710204081632653,0.7785234899328859,0.8157545820876121,0.858915797604349
hybrid_050,43,CBIS-DDSM,262,0.6645388007164001,hybrid_050_seed43/hybrid_050_seed43_seed43.txt,0.6850107908248901,0.7412935323383084,0.7949790794979079,0.7755102040816326,0.7851239669421488,0.8102950734433901,0.8483019616100989
hybrid_050,44,CBIS-DDSM,72,0.6241835951805115,hybrid_050_seed44/hybrid_050_seed44_seed44.txt,0.6580296754837036,0.7487562189054726,0.839622641509434,0.726530612244898,0.7789934354485777,0.8266735993760561,0.851041306980907
hybrid_050,45,CBIS-DDSM,183,0.5920834541320801,hybrid_050_seed45/hybrid_050_seed45_seed45.txt,0.6833525896072388,0.736318407960199,0.8061674008810573,0.746938775510204,0.7754237288135594,0.8235538801507866,0.8735799809219402
